epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1169.52,0.51767,1.79108,0.3683,0.53035,1.03792,0.97874,0.95767,0.98714,0.92654,0.89535,0.87034,0.8523,0.49013,0.40058,2.69526,0.17157,0.35508,0.92978,0.00056704,0.00056704,0.00056704
94,1182.09,0.50989,1.57335,0.3571,0.49288,1.01818,0.94442,0.97233,0.98167,0.91782,0.89637,0.91073,0.91276,0.53946,0.36786,2.48117,0.1811,0.3476,0.89056,0.000559318,0.000559318,0.000559318
95,1194.67,0.53473,1.52524,0.36774,0.53765,1.04612,0.97442,0.97233,0.98651,0.92822,0.87286,0.86053,0.82952,0.5178,0.3788,2.57333,0.16757,0.36433,0.89819,0.000551584,0.000551584,0.000551584
96,1207.03,0.51205,1.53445,0.35666,0.51281,1.02562,0.98211,0.97122,0.98812,0.93249,0.88026,0.86929,0.86223,0.56309,0.36402,2.39428,0.19447,0.33514,0.90129,0.000543837,0.000543837,0.000543837
97,1219.61,0.50111,1.50971,0.34804,0.49421,1.02108,0.95949,0.95272,0.97966,0.94109,0.85192,0.87166,0.84596,0.55838,0.36194,2.39768,0.18624,0.33741,0.90045,0.000536081,0.000536081,0.000536081
98,1232.02,0.49321,1.59449,0.35784,0.48244,1.01989,0.96929,0.94292,0.96514,0.91299,0.88506,0.85768,0.84146,0.56602,0.3637,2.33053,0.18079,0.34116,0.90752,0.000528318,0.000528318,0.000528318
99,1244.49,0.51482,1.48902,0.3572,0.52162,1.03744,0.967,0.93485,0.96322,0.91737,0.90722,0.88014,0.86893,0.59318,0.34935,2.25182,0.18201,0.32674,0.88407,0.000520548,0.000520548,0.000520548
100,1257.12,0.50041,1.47711,0.36576,0.50769,1.03403,0.96036,0.97064,0.98484,0.93553,0.83833,0.84657,0.81448,0.5546,0.34474,2.48605,0.18599,0.33974,0.87931,0.000512775,0.000512775,0.000512775
101,1269.56,0.50269,1.44768,0.3431,0.49771,1.02884,0.9362,0.96151,0.98864,0.93952,0.90809,0.8346,0.86483,0.62188,0.3459,2.12411,0.1667,0.33677,0.89067,0.000505,0.000505,0.000505
102,1282.14,0.49105,1.39003,0.34726,0.49782,1.02241,0.93775,0.93463,0.98074,0.91535,0.82001,0.82365,0.81722,0.58949,0.366,2.46756,0.18748,0.3436,0.90668,0.000497225,0.000497225,0.000497225
103,1294.64,0.49795,1.30142,0.33743,0.50707,1.0305,0.95354,0.95106,0.96926,0.90962,0.881,0.8444,0.83272,0.60857,0.36313,2.24081,0.16222,0.32545,0.89733,0.000489452,0.000489452,0.000489452
104,1307.12,0.51164,1.44289,0.34267,0.49977,1.02173,0.96859,0.94965,0.98513,0.93899,0.87163,0.82297,0.83462,0.61683,0.32931,2.31243,0.18855,0.31347,0.87442,0.000481682,0.000481682,0.000481682
105,1319.45,0.50178,1.37723,0.35539,0.48831,1.029,0.97076,0.92753,0.96616,0.92327,0.8965,0.84788,0.84034,0.61224,0.3549,2.24453,0.15815,0.34708,0.88751,0.000473919,0.000473919,0.000473919
106,1331.74,0.49382,1.35085,0.34312,0.48063,1.01989,0.97025,0.95134,0.98628,0.93053,0.8997,0.89508,0.88142,0.63594,0.35231,2.05081,0.15779,0.32454,0.88274,0.000466163,0.000466163,0.000466163
107,1345.24,0.48415,1.32522,0.33079,0.47016,1.01018,0.97819,0.98213,0.9907,0.93663,0.88951,0.89168,0.8694,0.6519,0.32103,1.9483,0.16093,0.30107,0.86039,0.000458416,0.000458416,0.000458416
108,1358.08,0.4775,1.22681,0.33044,0.46575,1.01503,0.97863,0.95217,0.98783,0.94971,0.94784,0.9124,0.92486,0.68117,0.31812,1.75895,0.16422,0.31216,0.85552,0.000450682,0.000450682,0.000450682
109,1371.49,0.4857,1.22786,0.33627,0.48126,1.02666,0.98855,0.96252,0.97828,0.92917,0.87995,0.85694,0.84914,0.65837,0.36254,2.03445,0.18038,0.33477,0.9014,0.00044296,0.00044296,0.00044296
110,1383.93,0.48318,1.24406,0.32717,0.48387,1.02175,0.99047,0.95954,0.9874,0.93188,0.89341,0.86345,0.85629,0.65214,0.33808,2.1115,0.181,0.335,0.88671,0.000435254,0.000435254,0.000435254
111,1396.58,0.48226,1.16246,0.32191,0.46706,1.02774,0.98277,0.97634,0.98829,0.94708,0.8941,0.86575,0.85379,0.65223,0.34329,2.00359,0.16234,0.29851,0.90564,0.000427565,0.000427565,0.000427565
112,1409.04,0.4936,1.29578,0.32736,0.46897,1.02591,0.97383,0.96252,0.98623,0.94232,0.92521,0.87781,0.89892,0.68264,0.37191,1.94277,0.18515,0.30501,0.91243,0.000419895,0.000419895,0.000419895
113,1421.24,0.48772,1.33862,0.33147,0.46313,1.01522,0.98906,0.97233,0.99089,0.93475,0.88598,0.87034,0.84059,0.62229,0.36303,2.15592,0.16706,0.29967,0.91001,0.000412246,0.000412246,0.000412246
114,1433.63,0.48043,1.24919,0.3264,0.48632,1.02298,0.97719,0.96252,0.98591,0.94172,0.86718,0.84363,0.82923,0.63613,0.35279,2.29829,0.16252,0.30645,0.89263,0.00040462,0.00040462,0.00040462
